User: DNAP OPS TEAM,,,,,
Path: C:\Program Files (x86)\BMG\Omega\DNAPOPSTEAM\Data\,,,,,
Test ID: 2634,,,,,
Test Name: DNAQ_v1.0,,,,,
Date: 10/11/2017,,,,,
Time: 11:07:26,,,,,
ID1: QNTE_A_2411,,,,,
Fluorescence (FI),,,,,
,,,,,
,,,,,
"Well
Row","Well
Col",Content,Sample IDs,Linear regression fit based on Blank corrected in ng/uL (485/520),good / bad based on %CV (485/520)
P,2,Blank B,,,
P,4,Blank B,,,
P,6,Blank B,,,
B,8,Control C1,Ctrl 1,25.12,
B,10,Control C1,Ctrl 1,25.341,
B,12,Control C1,Ctrl 1,24.019,
D,8,Control C2,Ctrl 2,9.59,
D,10,Control C2,Ctrl 2,9.713,
D,12,Control C2,Ctrl 2,9.365,
F,8,Control C3,Ctrl 3,2.715,
F,10,Control C3,Ctrl 3,2.644,
F,12,Control C3,Ctrl 3,2.506,
H,8,Control C4,Ctrl 4,0.904,
H,10,Control C4,Ctrl 4,0.861,
H,12,Control C4,Ctrl 4,0.83,
A,1,Sample X1,A1,3.014,
A,2,Sample X1,A1,3.163,
B,1,Sample X1,A1,2.836,
C,1,Sample X2,B1,1.47,
C,2,Sample X2,B1,1.672,
D,1,Sample X2,B1,1.497,
E,1,Sample X3,C1,0.357,
E,2,Sample X3,C1,0.339,
F,1,Sample X3,C1,0.289,
G,1,Sample X4,D1,2.655,
G,2,Sample X4,D1,2.633,
H,1,Sample X4,D1,2.405,
I,1,Sample X5,E1,0.245,
I,2,Sample X5,E1,0.275,
J,1,Sample X5,E1,0.229,
K,1,Sample X6,F1,6.201,
K,2,Sample X6,F1,6.964,
L,1,Sample X6,F1,6.103,
M,1,Sample X7,G1,0.705,
M,2,Sample X7,G1,0.672,
N,1,Sample X7,G1,0.518,
O,1,Sample X8,H1,2.472,INSPECT
O,2,Sample X8,H1,2.258,INSPECT
P,1,Sample X8,H1,1.652,INSPECT
A,3,Sample X9,A2,1.815,
A,4,Sample X9,A2,1.764,
B,3,Sample X9,A2,1.562,
C,3,Sample X10,B2,2.447,
C,4,Sample X10,B2,2.269,
D,3,Sample X10,B2,1.972,
E,3,Sample X11,C2,3.897,
E,4,Sample X11,C2,4.066,
F,3,Sample X11,C2,3.426,
G,3,Sample X12,D2,2.164,
G,4,Sample X12,D2,2.034,
H,3,Sample X12,D2,1.833,
I,3,Sample X13,E2,1.611,
I,4,Sample X13,E2,1.712,
J,3,Sample X13,E2,1.524,
K,3,Sample X14,F2,4.39,
K,4,Sample X14,F2,4.323,
L,3,Sample X14,F2,4.093,
M,3,Sample X15,G2,1.172,
